# iteration, obs_index, jd_tdb, dra_rad, ddec_rad
0,0,2459853.11953,0.00135315642155,1.98834751991e-06
0,1,2459853.12554,0.00271594038243,1.10192168024e-06
0,2,2459853.13079,0.00289205211501,9.16059921474e-07
0,3,2459853.13818,0.00301185121018,1.60528891574e-06
0,4,2459855.11455,0.00704426537176,2.13930001819e-06
0,5,2459855.12047,0.00721460384794,3.03411472791e-06
0,6,2459855.13639,0.00669660661083,2.94403490569e-06
0,7,2459855.14183,0.00651859920715,2.84247714055e-06
0,8,2459856.08653,0.0103697941265,2.41213340613e-06
0,9,2459856.09023,0.0102537157819,2.67710327351e-06
0,10,2459856.09578,0.0100672769453,2.2432732551e-06
0,11,2459856.11182,0.00956315215292,3.33672387237e-06
  
1,0,2459853.11953,0.00135315541046,1.98834251958e-06
1,1,2459853.12554,0.00271593937132,1.1019166925e-06
1,2,2459853.13079,0.00289205110388,9.16054941902e-07
1,3,2459853.13818,0.00301185019902,1.60528395127e-06
1,4,2459855.11455,0.00704426435376,2.13929867249e-06
1,5,2459855.12047,0.00721460282992,3.03411339314e-06
1,6,2459855.13639,0.00669660559275,2.94403359941e-06
1,7,2459855.14183,0.00651859818905,2.8424758442e-06
1,8,2459856.08653,0.0103697931051,2.41213381785e-06
1,9,2459856.09023,0.0102537147605,2.67710369201e-06
1,10,2459856.09578,0.0100672759239,2.24327368359e-06
1,11,2459856.11182,0.00956315113144,3.33672432939e-06
  
2,0,2459853.11953,0.00135315439936,1.98833752085e-06
2,1,2459853.12554,0.0027159383602,1.10191170333e-06
2,2,2459853.13079,0.00289205009275,9.16049962385e-07
2,3,2459853.13818,0.00301184918786,1.60527898541e-06
2,4,2459855.11455,0.00704426333575,2.13929732834e-06
2,5,2459855.12047,0.00721460181189,3.03411205965e-06
2,6,2459855.13639,0.00669660457466,2.94403229506e-06
2,7,2459855.14183,0.00651859717094,2.84247454968e-06
2,8,2459856.08653,0.0103697920837,2.41213423074e-06
2,9,2459856.09023,0.0102537137391,2.6771041115e-06
2,10,2459856.09578,0.0100672749025,2.24327411313e-06
2,11,2459856.11182,0.00956315010996,3.33672478758e-06
  
3,0,2459853.11953,0.00135315338827,1.98833252074e-06
3,1,2459853.12554,0.00271593734909,1.10190671432e-06
3,2,2459853.13079,0.00289204908161,9.16044984645e-07
3,3,2459853.13818,0.0030118481767,1.6052740196e-06
3,4,2459855.11455,0.00704426231775,2.13929598575e-06
3,5,2459855.12047,0.00721460079386,3.03411072777e-06
3,6,2459855.13639,0.00669660355658,2.94403099188e-06
3,7,2459855.14183,0.00651859615284,2.84247325633e-06
3,8,2459856.08653,0.0103697910623,2.41213464475e-06
3,9,2459856.09023,0.0102537127177,2.67710453211e-06
3,10,2459856.09578,0.0100672738811,2.24327454362e-06
3,11,2459856.11182,0.00956314908848,3.33672524699e-06
  
4,0,2459853.11953,0.00135315237718,1.98832752046e-06
4,1,2459853.12554,0.00271593633797,1.10190172492e-06
4,2,2459853.13079,0.00289204807048,9.16040005017e-07
4,3,2459853.13818,0.00301184716555,1.60526905357e-06
4,4,2459855.11455,0.00704426129974,2.13929464005e-06
4,5,2459855.12047,0.00721459977584,3.03410939279e-06
4,6,2459855.13639,0.00669660253849,2.94402968581e-06
4,7,2459855.14183,0.00651859513474,2.84247196014e-06
4,8,2459856.08653,0.0103697900409,2.41213505575e-06
4,9,2459856.09023,0.0102537116963,2.67710494983e-06
4,10,2459856.09578,0.0100672728596,2.24327497111e-06
4,11,2459856.11182,0.009563148067,3.33672570335e-06
